file,line,end_line,loc,kind,name,bucket,status,blockers,signals,risk_score,risk,action,phase,priority,rust_blocks
src/masstree/test_atomics.cc,152,152,1,typedef,kpermuter_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_atomics.cc,204,204,1,typedef,ss_type,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_atomics.cc,222,222,1,typedef,bag_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_atomics.cc,438,438,1,typedef,vstr_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_string.cc,35,35,1,struct,UTF8,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_string.cc,36,36,1,struct,UTF8NoNul,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_string.cc,37,37,1,struct,Windows1252,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/test_string.cc,43,47,5,struct,Converter,needs-transpiler,unmigrated,"raw-pointer, template","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/testrunner.hh,10,38,29,class,testrunner_base,refactor-then-DSL,unmigrated,raw-pointer,"constructor-overloads, raw-pointer, static-state, virtual-dispatch",52,high,reshape-first,reshape,8,0
src/masstree/testrunner.hh,42,54,13,class,testrunner,refactor-then-DSL,unmigrated,raw-pointer,"inheritance, raw-pointer, static-state, virtual-dispatch",57,high,reshape-first,reshape,3,0
src/masstree/testrunner.hh,58,62,5,class,testrunner_,refactor-then-DSL,unmigrated,none,static-state,10,low,reshape-first,reshape,50,0
src/masstree/timestamp.hh,37,37,1,typedef,kvtimestamp_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/value_array.hh,28,75,48,class,value_array,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/value_bag.hh,26,86,61,class,value_bag,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/value_string.hh,27,79,53,class,value_string,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/value_versioned_array.hh,30,80,51,struct,rowversion,refactor-then-DSL,unmigrated,none,constructor-overloads,10,low,reshape-first,reshape,50,0
src/masstree/value_versioned_array.hh,82,133,52,class,value_versioned_array,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/value_versioned_array.hh,137,151,15,struct,query_helper,boundary-review,unmigrated,I/O-or-FFI,I/O-or-FFI,20,medium,isolate-or-probe-unsafe-boundary,floor-review,0,0
